gene	0h_AL	1h_AL	1h_FAST	3h_AL	3h_FAST	4h_RF	6h_AL	6h_FAST	12h_AL	12h_FAST	24h_AL	24h_FAST
0610009B22Rik	4.526468580207437	0	0	1.1653103758277215	0.9575819341540032	0	1.6396318089556123	1.0777882861906745	0	0.7810921182485953	0.44799247283614485	0
0610010K14Rik	311.6172856535318	430.183260029081	423.4682720638186	351.7425716841619	407.5383381016219	311.976750262637	400.17700666496154	430.0495645653503	407.1267693339231	336.97046056886944	522.7667507416804	320.34769292441393
0610012G03Rik	10.796798416322217	12.042453553563938	20.55191849287693	12.989387750706902	19.333967185379134	30.208794880460598	15.842204292623755	19.0950146724089	17.970500459633897	16.425092527416382	31.9228763746177	9.859038101535514
0610030E20Rik	324.3675605059724	285.0892141331124	158.19570287124444	223.4254039695677	284.4439142886925	121.62896924049055	385.25353251918426	370.90250497615824	404.8398271628837	181.8701335551114	264.6400297119844	152.56540544272283
0610040J01Rik	15.113077804464158	13.925211607677355	13.149818670305498	20.86018462613957	15.397499319651347	23.309249187030296	10.192701316955976	11.254249160524786	11.99543105228092	8.658476015021094	12.440202870741556	14.751211401382918
1110002E22Rik	13.276570954447575	13.770495236679025	15.462973203818795	12.652760537672165	6.896573901040848	10.760079052440787	13.337704346989641	14.452064354590007	18.03583173792837	28.443764785422218	14.14707157063191	11.441032407609976
1110004F10Rik	9.557449125767638	9.11072541115533	5.249033128048352	5.869763917024871	6.179919778714714	2.955236575282247	5.606903272388139	5.606390547393659	4.383178329654848	2.8491961759933764	4.121809678963453	6.671102219664971
1110017D15Rik	78.04931044160134	48.074875349791895	30.865098536170677	64.25263847473607	49.35354141835068	42.79157623985029	39.76741029838469	30.174648898658084	15.502884974878228	18.522309309979754	52.05964959976771	34.34426027814515
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	60.826179805340715	50.841991668937055	35.20217060668244	31.670520187222387	43.8808251320272	42.15455663894669	37.889142198716975	38.23949645464213	25.12872049249701	20.93719319602242	47.842299830372205	50.736392845712
1110032F04Rik	0	0	0	0	0	0	0	0	0	0	0	0
